id	stem	gloss	part_of_speech	strongs_list
516	influence	(LDV) to influence somebody to think or act differently	Verb	G4409,G1982,G1642,H7937,G5485
517	inherit	(complex) to inherit from somebody something	Verb	H5157
518	injure	(complex) to hurt and cause damage to a body part (John injured his foot.)	Verb	G2559,G2210,H1970
519	insist	(complex) to insist that something happens	Verb	H0597
520	inspect	(complex) to examine something thoroughly	Verb	G2029,G1980,G3906
521	inspire	(complex) to be directed by the Holy Spirit when speaking or writing	Verb	
522	instruct	(complex) to teach someone and tell them what to do	Verb	G2085
523	instruct	(complex) to teach someone, but no complement clause is included (John instructed his son.)	Verb	G2085
524	insult	(LDV) to insult someone	Verb	G1796,G1908
525	introduce	(LDV)	Verb	G1521
526	invade	(complex) an army invades a country	Verb	H1082
527	invite	(LDV) to invite someone to do something (The king invited many people to come to the palace.)	Verb	G1528,G0479
528	invite	(LDV) John invited Mary to the movie.	Verb	G1528,G0479
529	join	(LDV) to join someone in doing something	Verb	H2266
530	join	(LDV) to join two things together into one	Verb	H2266
531	judge	(LDV) to judge someone or something to determine truth/innocence	Verb	H8199,G1469,H6419,G2632,G4793
532	jump	(LDV) to jump from someplace to someplace	Verb	G0242,H5937,H5425,H5970,G4640
533	jump	(LDV) to move quickly because you're startled or surprised	Verb	G0242,H5937,H5425,H5970,G4640
534	jump	(LDV) to jump around, up and down	Verb	G0242,H5937,H5425,H5970,G4640
535	jump-down	(LDV) to jump down from a high place to a lower place	Verb	
536	keep	(LDV) to keep something (in your possession)	Verb	G1127,G2270,G4601,G4933,H7876
537	keep	(LDV) to keep something (a covenant or promise)	Verb	G1127,G2270,G4601,G4933,H7876
538	keep	(LDV) to keep an animal (Mary kept a dog in a pen.)	Verb	G1127,G2270,G4601,G4933,H7876
539	kick	(LDV) to hit something with your foot	Verb	
540	kidnap	(complex) to take a person from his family in order to sell him	Verb	
541	kill	(LDV) to kill a person or animal	Verb	G2695,H6992,G0615
542	kiss	(LDV) to kiss someone on the cheek affectionately, not on the lips romantically	Verb	G2705,H5401,G5370,H5390
543	kneel	(LDV) to kneel, this is the position used when praying.  The word 'bow' is used for the position one assumes before a king.	Verb	H1288,H0086
544	knock	(LDV) to knock on someone's door in order to let that person know that you want to enter his house	Verb	H5368,H1849,H2251,G3960
545	knock-down	(LDV) to knock a person or animal down so that it's no longer standing on its feet	Verb	
546	knock-down	(LDV) to knock a thing down, like a fence or building	Verb	
547	knock-over	(LDV) to knock over something like a table or chair	Verb	
548	know	(universal primitive) to be acquainted or familiar with a person or place or abstract (Mary knew John.)	Verb	G4267,G0314,G2467,G1921,G1231
549	know	(universal primitive) to be sure about something (Mary knew that John went to the library.)	Verb	G4267,G0314,G2467,G1921,G1231
550	know	(universal primitive) to know a bit of knowledge such as a person's name, the meaning of a word, etc. (Mary knew a secret.)	Verb	G4267,G0314,G2467,G1921,G1231
551	know	(universal primitive) to know about something (John knows about the problem.)	Verb	G4267,G0314,G2467,G1921,G1231
552	know-how	(universal primitive) to know how to do something (John knows how to solve the problem.)	Verb	
553	know-how	(universal primitive) to know how someone else did something (John knows how Mary solved the problem.)	Verb	
554	lack	(complex alternate) to lack something that you need or want (Psalm 23:1) (John lacks integrity.)	Verb	H2637,H2639
555	laugh	(LDV) to laugh because something is funny	Verb	H7832,G2606,G1070,H6711
556	laugh	(LDV) to laugh at someone (derisively)	Verb	H7832,G2606,G1070,H6711
557	lead	(LDV) to physically lead people on a journey to someplace	Verb	G0635,G3329,G2609,G3919,G5217
558	lead	(LDV) to lead a people (spiritually or politically)	Verb	G0635,G3329,G2609,G3919,G5217
559	lead	(LDV) something (like a road) leads someplace (pD)	Verb	G0635,G3329,G2609,G3919,G5217
560	lead	(LDV) to lead an animal (David led the sheep to the stream.)	Verb	G0635,G3329,G2609,G3919,G5217
561	lead	(LDV) to lead a group of people in an activity such as singing or praying	Verb	G0635,G3329,G2609,G3919,G5217
562	lean	(LDV) to support yourself in a sloping position against something (John leaned against the wall.)	Verb	G0347,H6101
563	learn	(LDV) to learn something generic (John learned some things at school.)	Verb	G2648,G3129
564	learn	(LDV) to learn something particular (John learned that Columbus discoverd America.)	Verb	G2648,G3129
565	learn	(LDV) to learn about something (John learned about the problem.)	Verb	G2648,G3129
566	learn-how	(LDV) to learn how to do something (Mary learned how to cook.)	Verb	
567	leave	(LDV) to leave a place	Verb	H7804,G2641,G1257,G5275,G1952
568	leave	(LDV) to leave a person or animal	Verb	H7804,G2641,G1257,G5275,G1952
569	leave	(LDV) to not bring something (Mary left the book at home.)	Verb	H7804,G2641,G1257,G5275,G1952
570	leave	(LDV) to permanently leave one's spouse	Verb	H7804,G2641,G1257,G5275,G1952
571	let	(LDV) to let someone do something	Verb	G3935,G1439,G0447,G3409,G2277
572	let-go	(LDV) to stop holding something, release something from your hand	Verb	
573	lick	(complex) to move one's tongue across the surface of something to taste it, wet it, or clean it (The dog licked the apple.)	Verb	H3952,G0621,H3897
574	lie	(complex) to tell a lie to someone, to say false things to someone	Verb	G4295,H7901,H3456,G2990,G3873
575	lie	(LDV) something is in a state of lying on something	Verb	G4295,H7901,H3456,G2990,G3873
576	lie-down	(LDV) to move from a standing position to a prone position	Verb	
577	lie-down	(LDV) to be in a prone position (John was lying down all afternoon.)	Verb	
578	lift	(LDV) to lift something	Verb	H5190,G0941,G0142,H5375,G0522
579	light	(LDV)	Verb	H7136,H0080,H7031,G1645,G5459
580	like	(LDV) to like a person or thing (John likes candy.)	Verb	G3675,G2465
581	like	(LDV) to like some event (John likes going to the park.)	Verb	G3675,G2465
582	like	(LDV) to like someone doing something (Mary likes it when John washes the dishes.)	Verb	G3675,G2465
583	limp	(complex) to walk with a limp	Verb	H6760
584	listen	(LDV) to listen or hear something or someone	Verb	G1874,G1522
585	listen	(LDV) to listen/hear/obey someone or something	Verb	G1874,G1522
586	live	(LDV) to dwell somewhere (John lived in Egypt.)	Verb	G2198,H2425,H2418,H2421,G0440
587	live	(LDV) to have life (The king will live forever.)	Verb	G2198,H2425,H2418,H2421,G0440
588	live	(LDV) to live a certain way or lifestyle (Christians should live like the Apostle Paul lived.)	Verb	G2198,H2425,H2418,H2421,G0440
589	loan	(simple) to loan something to someone expecting to get it back (Mary loaned some money to John.)	Verb	G1155,G5531,H4855,G5533,H4859
590	lock	(LDV) to fasten a door or window so people can't open it	Verb	H6653
591	lock	(LDV) a door is locked or fastened shut	Verb	H6653
592	long	(complex) to really want to do something yourself (Mary longed to go to Paris.)	Verb	H6165,H0750,H0752,G3118,G3117
593	look	(LDV) to consciously focus your eyes on something	Verb	G1689,G0991,G0308,G1227,G2300
594	look	(LDV) to appear a certain way (John looked happy/sad/excited.)	Verb	G1689,G0991,G0308,G1227,G2300
595	look-up	(LDV) to look upward	Verb	
596	lose	(LDV) to lose an abstract such as one's life or job	Verb	G1950
597	lose	(LDV) to lose a battle or war	Verb	G1950
598	lose	(LDV) to lose something such as a coin or a sheep	Verb	G1950
599	love	(LDV) to love someone (romantically)	Verb	G0025,H5690,H5691,G0026
600	love	(LDV) to love someone (not romantically) (e.g., Mary loves her son.)	Verb	G0025,H5690,H5691,G0026
601	love	(LDV) to love a thing (John loves that book.)	Verb	G0025,H5690,H5691,G0026
602	lower	(LDV) to cause something to go down	Verb	G2507,G5465
603	lust	(complex) to have a very strong sexual desire but without love	Verb	H4684,H6349,G4203,G4448,H7904
604	make	(LDV) to create an artifact	Verb	H1993,G5324,G5188,G5186,G4868
605	make	(LDV) to make someone do something	Verb	H1993,G5324,G5188,G5186,G4868
606	make	(LDV) to make something abstract, like a law or a promise (God made a covenant with Abraham.)	Verb	H1993,G5324,G5188,G5186,G4868
607	make	(LDV) an animal makes food for its young (e.g., Cows make milk.  Bees make honey.)	Verb	H1993,G5324,G5188,G5186,G4868
608	make	(LDV) to make food (e.g., John made some bread.)	Verb	H1993,G5324,G5188,G5186,G4868
609	make	(LDV) to make oneself do something (e.g., John made himself go to the store.)	Verb	H1993,G5324,G5188,G5186,G4868
610	make-up	(complex) to make something up, such as a story (John made up that story.)	Verb	
611	manage	(LDV) to direct, control, or oversee a business or operation  (John managed the strore.)	Verb	G3621
612	march	(complex) soldiers walk together	Verb	G4748,H6807
613	mark	(LDV)	Verb	H8376,H8427,G3724,H8420,G4742
614	marry	(LDV) to marry someone	Verb	G1547,H2992
615	marry	(LDV) to be married to someone	Verb	G1547,H2992
616	mean	(LDV) a word means something (an Adjective Phrase) (Mara means 'bitter'.)	Verb	G3004,G5445
617	mean	"(LDV) a word means something (a Clause) (Mene means, ""God has counted the days of your life."")"	Verb	G3004,G5445
618	mean	(LDV) a word means something (a Noun Phrase)	Verb	G3004,G5445
619	mean	(LDV) a word means something (a Verb Phrase) (Babel means 'to confuse'.)	Verb	G3004,G5445
620	mean	(LDV) to mean something (This message means that ...)	Verb	G3004,G5445
621	measure	(LDV) to find the size, length, or amount of something, using standard units such as inches, meters, etc	Verb	G3354,H4884,G3358,H8180,H3963
622	meditate	(complex) to think deeply	Verb	
623	meet	(LDV) to meet someone for the first time (Mary met a new friend.)	Verb	G0528,G2658,G4876
624	meet	(LDV) to meet someone that you know, have a meeting (Mary met a friend at the library.)	Verb	G0528,G2658,G4876
625	meet	(LDV) to get together for a meeting (The people met at the library.)	Verb	G0528,G2658,G4876
626	meet	(LDV) to meet with someone (John met with Susan yesterday.)	Verb	G0528,G2658,G4876
627	melt	(LDV) to melt due to intense heat, like a candle (The candle melted.)	Verb	H4743,H4127
628	menstruate	(universal) a woman's monthly bleeding	Verb	
629	miss	(LDV) to miss someone, long for them	Verb	G0795
630	mix	(LDV) to mix together something into something	Verb	H4537,G4874,G3396
631	mix	(LDV) one liquid mixes with another liquid	Verb	H4537,G4874,G3396
632	mock	(complex) to make fun of someone	Verb	
633	mourn	(complex) to mourn because someone died; always paired with 'to cry'	Verb	H0596
634	mourn	(complex) to mourn because times are bad (During the Great Depression many people mourned.)	Verb	H0596
635	move	(LDV) to change residence from one place to another place (Mary moved from Dallas to Portland.)	Verb	G4787,H1680
636	move	(LDV) to physically move something from one place to another place (Mary moved the chair from one room to another room.)	Verb	G4787,H1680
637	move	(LDV) to move a body part (John moved his foot.)	Verb	G4787,H1680
638	move	(LDV) a person, animal, or thing moves from one location to another (John moved from this chair to that chair.)	Verb	G4787,H1680
639	move-aside	(LDV) to move out of the way	Verb	
640	multiply	(complex alternate) to produce very many children	Verb	H7231
641	murder	(complex) although in LDV, to murder someone, (not kill, which is generic)	Verb	G5408
642	name	(LDV) to give to someone a name (as a parent does to a newborn child)	Verb	G2028,G3687,G5122
643	need	(LDV) to require someone to do something  (Mary needs John to wash the car.)	Verb	H6878
644	need	(LDV) to require something  (Mary needs that book.)	Verb	H6878
645	need	(LDV) to require oneself to do so something (John needs to wash the car.)	Verb	H6878
646	notice	(LDV) to observe or pay attention to an event (John notices Mary reading that book.)	Verb	G4308
647	notice	(LDV) to observe a thing (John noticed that book.)	Verb	G4308
648	nurse	(complex) a mother nurses a baby	Verb	H2946,H0539,H0540,G5162
649	obey	(LDV) to do whatever a law or commandment requires (John obeyed the law.)	Verb	G5293,G1811,G4933,G5442,H5341
650	obey	(LDV) to do what someone in authority says to do (John obeyed the captain.)	Verb	G5293,G1811,G4933,G5442,H5341
651	obtain	(complex) to get something (into your possession)	Verb	H8551,G2865
652	offend	(LDV) to make someone angry or upset by saying or doing something rude or unkind	Verb	G5180
653	offer	(LDV) to present something to somone so that he can accept or reject it	Verb	G5576,H3320,G2370
654	offer	(LDV) to offer to do something for someone (John offered to help Mary.)	Verb	G5576,H3320,G2370
655	open	(LDV) to open a container such as a box, bottle, envelope, etc.	Verb	G0455,H6605,H6491,G1272,H6626
656	open	(LDV) to open a door, gate, or window	Verb	G0455,H6605,H6491,G1272,H6626
657	open	(LDV) to open a book	Verb	G0455,H6605,H6491,G1272,H6626
658	open	(LDV) to open one's eyes	Verb	G0455,H6605,H6491,G1272,H6626
659	open	(LDV) to open one's mouth	Verb	G0455,H6605,H6491,G1272,H6626
660	open	(LDV) intransitive, something opens  (Judas' body split open.)	Verb	G0455,H6605,H6491,G1272,H6626
661	oppose	(LDV) to oppose someone	Verb	G0496
662	order	(LDV) to order someone to do something	Verb	H5468,G4244
663	overflow	(complex alternate) to overflow, flow over the top	Verb	H1101,H6687,G3632
664	oversee	(complex) to watch over, be in charge of	Verb	G1983
665	overwhelm	(complex) to be too difficult to deal with (That disaster overwhelmed the people.)	Verb	H7779
666	owe	(LDV) to owe someone something	Verb	G3784
667	own	(LDV) to own something	Verb	H7069,G0633,G2992,G2932,G4308
668	paint	(LDV) to put paint on a surface  (John painted that wall.)	Verb	H3583
669	pass	(LDV) to go by a location	Verb	G0835,G4126,H2499,G1236
670	pass	(LDV) a period of time passes (Seven days passed.)	Verb	G0835,G4126,H2499,G1236
671	pay	(LDV) to give (a hired) someone money or other things for something (a service)	Verb	G0661,G5099,G3408
672	pay	(LDV) to give someone money or other things for something (goods)	Verb	G0661,G5099,G3408
673	pay	(LDV) to pay taxes	Verb	G0661,G5099,G3408
674	pay	DELETE	Verb	
675	perish	(complex) to die, especially in a terrible or sudden way	Verb	G1570,H5595,H1826,H4355,G0622
676	persecute	(complex) to treat someone cruelly for a long time	Verb	G1377,G3404,G1559,H7852
677	persuade	(LDV) to convince the listener to do something (John persuaded Mary to read that book.)	Verb	
678	persuade	(LDV) to cause someone to think that something is true (John persuaded Mary that Bill should read that book.)	Verb	
679	pick	(LDV) to pick, or harvest something off a plant	Verb	H3950,H2846,H4281
680	pick-up	(LDV) to pick something up	Verb	
681	pierce	(complex) to make a small hole in or through something	Verb	H7527,H5014,G2660
682	pity	(LDV) to feel sorry for someone	Verb	G3628
683	plan	(LDV) to plan to do something (John planned to go to the state fair.)	Verb	H2161,H4209,G1917,H2154
684	plan	(LDV) to plan something (John planned the state fair.)	Verb	H2161,H4209,G1917,H2154
685	plan	(LDV) to plan for someone else to do something (John planned for Mary to go to the fair.)	Verb	H2161,H4209,G1917,H2154
686	plant	(LDV) to plant something	Verb	H3657,H5195,H5194
687	play	(LDV) to play like children	Verb	G0832,G2789,H2167
688	play	(LDV) to play a musical instrument (John played/blew a trumpet.)	Verb	G0832,G2789,H2167
689	plead	(complex) to ask/beg/argue with someone to do something	Verb	
690	plead	(complex) to ask or beg someone to do something, takes a direct quote	Verb	
691	please	(LDV) a person or thing causes someone to be happy  (John pleased Mary.)	Verb	H6634
692	please	(LDV) an event causes someone to be happy (It pleased Mary that John read this book.)	Verb	H6634
693	plot	(complex) to plan to do bad things to someone (John plotted against the king.)	Verb	H2162
694	plot	(complex) to plot to do something (John plotted to kill the king.)	Verb	H2162
695	plow	(complex) to plow a field in preparation for planting crops	Verb	G0722,G0723
696	point	(LDV) to point in some direction (The sign pointed to the north.)	Verb	H8150,G2759,G4743,H2303
697	point	(LDV) to point at someone (Mary pointed at Bob.)	Verb	H8150,G2759,G4743,H2303
698	point	(LDV) to point something at something else	Verb	H8150,G2759,G4743,H2303
699	pour	(LDV) to pour a liquid or powder from something into something	Verb	H6379,H3251,G1632,H6694,H7324
700	pour-out	(LDV) a liquid pours out of a container.  (The water poured out from the broken cup.) (intransitive)	Verb	
701	pour-out	(LDV) to pour something out of a container (John poured the water out onto the ground.) (transitive)	Verb	
702	praise	(LDV) to praise someone for doing something	Verb	G0134,H3029,G0239
703	pray	(LDV) to pray to someone, usually God or a god, about something	Verb	G4336,H6739
704	pray	(LDV) to pray for a specific event (Mary prayed that God would protect her.)	Verb	G4336,H6739
705	pray	(LDV) to pray, direct speech	Verb	G4336,H6739
706	pray	(LDV) to pray a prayer (Daniel prayed that prayer many times.)	Verb	G4336,H6739
707	pray-hope	"(LDV) this is used in ""may"" constructions such as ""May God be with you."" -> ""I'll pray that God will be with you."""	Verb	
708	preach	(complex) to preach a message	Verb	
709	preach	(complex) to preach about something (John preached to the people about God.)	Verb	
710	preach	(complex) takes an object complement clause (e.g., John preached that people should repent.)	Verb	
711	predict	(complex) to say that something will happen before it happens	Verb	G4277,G4293,G4280,H5046,G4302
712	predict	(complex) to predict something (John predicted this problem.)	Verb	G4277,G4293,G4280,H5046,G4302
713	prepare	(LDV) to ready oneself to do something (John prepared to go to class.)	Verb	G4294,H6257,G0741,G2680,G2090
714	prepare	(LDV) to prepare food or a meal (Mary prepared the dinner.)	Verb	G4294,H6257,G0741,G2680,G2090
715	prepare	(LDV) to prepare something other than food	Verb	G4294,H6257,G0741,G2680,G2090
716	preserve	(LDV) to save something, keep it for later	Verb	G5442,H3498,G1295,H2820,H6299
717	press	(LDV) to press against something (The people pressed against Jesus.)	Verb	H1766,H0213,H0509,H6229,H4600
718	pretend	(LDV) to do something falsely in order to deceive	Verb	G4364,G5271
719	prevent	(LDV) to stop something from happening	Verb	G5083,G0271,G2967
720	proclaim	(complex) to proclaim to someone something, assert that it is true (The king proclaimed that ...)	Verb	H3745,G2605
721	proclaim	"(complex) to proclaim with a direct quote (The king proclaimed, ""..."")"	Verb	H3745,G2605
722	proclaim	(complex) to proclaim something (John proclaimed the gospel.)	Verb	H3745,G2605
723	produce	(LDV) to produce something (emphasized product)	Verb	G5088,H5108,H0944,H2981,H1645
724	produce	(LDV) to produce children	Verb	G5088,H5108,H0944,H2981,H1645
725	promise	(LDV) to promise someone that something will happen (John promised Mary that ...)	Verb	H5087,G4279,H5088
726	promise	"(LDV) to promise to do something (direct speech) (John promised Mary, ""I'll ..."")"	Verb	H5087,G4279,H5088
727	promise	(LDV) X promise Y that X will ... (John promised Mary that he'll ....)	Verb	H5087,G4279,H5088
728	promise	(LDV) x promise Y that Z will ... (John promised Mary that Peter will ....)	Verb	H5087,G4279,H5088
729	prophesy	(complex) to prophesy to someone something	Verb	H5012
730	prosper	(complex) to grow and develop in a successful way, especially by becoming rich or making a large profit	Verb	H3787,G2127
731	protect	(LDV) to protect someone from something (John protected Mary from the alligator.)	Verb	H8104,G5097,H6845,H5095,H5341
732	protect	(LDV) to protect someone from an event (John protected Mary from being shot.)	Verb	H8104,G5097,H6845,H5095,H5341
733	prove	(LDV) to prove to someone that something is true	Verb	G1246
734	provide	(LDV) to give something to someone or make it available when they need or want it	Verb	G2865
735	pull	(LDV) an animal pulls a plow, wagon or chariot	Verb	H4871,H8025,H2778,H2040,H2502
736	pull	(LDV) a person pulls a fish net into a boat	Verb	H4871,H8025,H2778,H2040,H2502
737	pull	(LDV) to pull something with your arm	Verb	H4871,H8025,H2778,H2040,H2502
738	pull-off	(LDV) to pull something in order to detach it	Verb	
739	pull-out	(LDV) to pull something out of something else	Verb	
740	punish	(LDV) to punish someone for doing something (bad)	Verb	G3421,G5180,G1827,G3952,H5358
741	punish	(LDV) to punish a child for disobeying	Verb	G3421,G5180,G1827,G3952,H5358
742	pursue	(complex) to chase or follow someone in order to catch them and attack them; always paired with a word like 'follow' or 'chase'.	Verb	G1559
743	push	(LDV) to push something	Verb	H1760,H5080,G1643,H3014,H1920
744	push-away	(LDV) to push something away from you	Verb	
745	put	(LDV) to place something somewhere	Verb	G2165,G0659,G2885,G2021,G2837
746	put-away	(LDV) to put something back into its place	Verb	
747	put-down	(LDV) to put something down (John put the book down on the table.)	Verb	
748	put-on	(LDV) to put on clothes (John put on a suit.)	Verb	
749	quarrel	(complex) to argue (John and Mary quarrelled.)	Verb	H4808,H4683,G2054,H4695
750	race	(LDV) to race someone to somewhere	Verb	G1408,H4794
751	raid	(complex) to attack people and take away their valuable things	Verb	
752	raise	(LDV) to lift up something	Verb	H5191,G1869,G5229,H5264,G3349
753	raise	DELETE (complex) to raise someone (from the dead)	Verb	
754	rape	(complex) a man forces a woman to have sex with him	Verb	
755	reach	(LDV) to reach a goal	Verb	G1338,H5381,G2520
756	reach-out	(LDV) to extend your hand toward someone	Verb	
757	read	(LDV) to read something out loud to other people	Verb	G0314
758	read	(LDV) to read about something (John read about the people of India.)	Verb	G0314
759	read	(LDV) to read something silently	Verb	G0314
760	read	(LDV) to read about an event (Mary read that John climbed that mountain.)	Verb	G0314
761	realize	(LDV) to suddenly come to know that something happened	Verb	G5003
762	rebel	(complex) to refuse to continue obeying someone	Verb	H4775,H4754
763	rebuke	(complex) to rebuke, scold someone for something; paired with 'to speak'	Verb	H3543,G3559
764	recede	(complex) water level goes down	Verb	H7368
765	receive	(LDV) to receive ownership of something from someone (John received a book from Mary.)	Verb	G0618,G3880,G1237,G1209
766	receive	(LDV) to receive an abstract such as joy, power, authority (The prince received his authority from the king.)	Verb	G0618,G3880,G1237,G1209
767	recline	(complex) to recline at a table while eating	Verb	G4873,G0345,H7514
768	recognize	(LDV) to recognize someone	Verb	G1921
769	reconcile	(complex) to restore a good relationship	Verb	G0604
770	redeem	(complex) to buy back from someone something	Verb	G0059
771	redeem	(complex) to take something back in order to accomplish a purpose (Boaz redeemed the land to preserve Elimelech's name.)	Verb	G0059
772	refuse	(LDV) to refuse to do something	Verb	H5106,H3985,H5501,H3973
773	regret	(complex) to be sorry that you did something	Verb	G3338
774	reign	(complex) to rule a group of people from somewhere (David reigned from Jerusalem.)	Verb	H4427
775	reject	(complex) to refuse to accept or believe in someone	Verb	H5010,H2186
776	rejoice	(complex) to be very joyful	Verb	G4913,H2868,H2302
777	release	DELETE THIS CONCEPT we use 'free', but we link 'free' to 'release'	Verb	
778	remember	(LDV) to recall an event (John remembered that Mary went to the store.)	Verb	H2142,G4933
779	remember	(LDV) to observe a special date (John and Mary regularly remember their anniversary.)	Verb	H2142,G4933
780	remember	(LDV) to remember a person (John remembers Steve.)	Verb	H2142,G4933
781	remember	(LDV) to remember a thing (John remembers that book/place.)	Verb	H2142,G4933
782	remember	(LDV) to remember to do something yourself (John remembered to buy milk.)	Verb	H2142,G4933
783	remind	(LDV) to cause someone to remember some bit of knowledge	Verb	G0363,G3403,G1878,G5279
784	remind	(LDV) to remind someone to do something	Verb	G0363,G3403,G1878,G5279
785	remind	(LDV) to remind someone about something (John remined Mary about the party.)	Verb	G0363,G3403,G1878,G5279
786	rent	(LDV) to let someone use something in return for money (John rented his house to a person.)	Verb	
787	rent	(LDV) to pay money to someone so that you can use something	Verb	
788	repair	(LDV) to repair something	Verb	H5640,G3719,H2338,H2388,G2675
789	repeat	DELETE use 'do again' or 'say again', etc.	Verb	
790	repent	(complex) to repent of something (sins)	Verb	H2398
791	replace	(simple)	Verb	
792	reply	"(LDV) to talk in response to something that someone else said (John replied to Mary, ""..."")"	Verb	H4617
793	reply	(LDV) to reply to someone, but no direct quote is included (John replied to Mary.)	Verb	H4617
794	report	(LDV) to give people information about recent events	Verb	G1310,H4926,H8089
795	represent	(LDV) 	Verb	
796	require	(complex) to require someone to do something	Verb	G4326
797	rescue	(complex) to save or help someone from a dangerous situation	Verb	G4991,H8668,H2020
798	respect	(LDV) to admire someone because they have high standards and good qualities such as fairness and honesty	Verb	H1971
799	rest	(LDV) to rest, not work	Verb	H5115,G1945,H5117,H4774,H7674
800	restore	(complex) to repair something to its former state or condition	Verb	G0340
801	retreat	(complex) an army retreats because it is being defeated	Verb	H5253,H7734,H4499,H4498
802	return	(LDV) to go back (away from action) to a place where you were previously	Verb	H7729,H7870
803	return	(LDV) to come back (towards center of action)	Verb	H7729,H7870
804	return	(LDV) someone returns something to its previous place (John returned the book to the shelf.)	Verb	H7729,H7870
805	return	(LDV) to go back to a person that you'd seen previously (John returned to his friend.)	Verb	H7729,H7870
806	return	(LDV) to return something that was borrowed or stolen (John returned the book to his friend.)	Verb	H7729,H7870
807	reveal	(complex) to make known something that was secret or unknown	Verb	H1541,H1540
808	reveal	(complex) to reveal an event (God revealed to us that Jesus will come again.)	Verb	H1541,H1540
809	revenge	(complex) to take revenge, get even, do something to punish someone who offended you	Verb	H5359
810	reward	(complex) to give many good things to someone for doing something	Verb	G3415,G4295,H1309,H4909
811	ride	(LDV) to ride something (animal or vehicle) from somewhere to somewhere	Verb	H7392
812	riot	(complex) to behave violently by fighting the authorities and damaging property (The people rioted after the election.)	Verb	G3793
813	rise	(LDV) to move upwards, like smoke	Verb	H6965,H7213,H7426
814	rise	(LDV) the sun, moon or a star rises	Verb	H6965,H7213,H7426
815	roast	(complex) to cook something over a fire	Verb	H6740
816	roll	(LDV) to turn one's body over and over on the ground	Verb	G0617,H1556,G4351,H6428,G0975
817	roll	(LDV) to push something that is fairly round across the ground	Verb	G0617,H1556,G4351,H6428,G0975
818	row	(complex) to row a boat	Verb	H7713,H2905
819	rub	(LDV) to rub something with an oil or liquid (John rubbed the leather with oil.)	Verb	H4222,H4886,G1472
820	rub	(LDV) to rub one thing back and forth over another thing	Verb	H4222,H4886,G1472
821	ruin	(LDV) to spoil or destroy something	Verb	H2255,H4876,H8047,H1943,H6986
822	rule	(LDV) to reign over a group of people	Verb	G2961,G0936,H4910,H4475,G2583
823	run	(LDV) to run from one place to another place (John ran to the car.)	Verb	G4063,G5295,H7783,G4370,H7519
824	run	(LDV) to run in order to escape from someone or something that is chasing you (John ran from the dog.)	Verb	G4063,G5295,H7783,G4370,H7519
825	run	DON'T USE THIS CONCEPT *** These should be replaced with 'run-away' - to run away from something 	Verb	G4063,G5295,H7783,G4370,H7519
826	run	(LDV) someone's nose runs when he has a cold	Verb	G4063,G5295,H7783,G4370,H7519
827	run-away	(LDV) to run away from a person or place	Verb	
828	run-down	(LDV) to run down something such as a hill (John ran down the hill.)	Verb	
829	run-out	(LDV) to run out of a building or city	Verb	
830	run-up	(LDV) to run up something such as a hill (John ran up the hill.)	Verb	
831	rush	(complex) to move quickly to do something, paired with 'to run'	Verb	H5590,G4936,H5584,H7582,G1530
832	sacrifice	(complex) to sacrifice to someone (God) something	Verb	H1684,G2378,H1685
833	sail	(complex) to go somewhere in a boat that is blown by the wind	Verb	G3896,G5284,G1277,G1020,G4144
834	satisfy	(LDV)	Verb	H1878,H7521,G1705,G4137
835	save	(LDV) to save or rescue a person or animal from something dangerous or death	Verb	G4982,G1295
836	save	(LDV) to save money or something for future use	Verb	G4982,G1295
837	save	(complex) God saves people from their sins	Verb	G4982,G1295
838	say	"(universal primitive) direct speech, to say something to someone (John said to Mary, ""..."")"	Verb	G1256,G0550,G4852,H0559,G4302
839	say	(universal primitive) non direct speech (He said many things to the people.)	Verb	G1256,G0550,G4852,H0559,G4302
840	say	(universal primitive) indirect speech (John said that ... )	Verb	G1256,G0550,G4852,H0559,G4302
841	say	(universal primitive) a book, law or command says something (indirect quote) (The law says that ...)	Verb	G1256,G0550,G4852,H0559,G4302
842	say	"(universal primitive) a book or text says something (direct quote) (The Scriptures say, ""..."")"	Verb	G1256,G0550,G4852,H0559,G4302
843	say	"(universal primitive) a law or command says something (direct quote) (The law says, ""..."")"	Verb	G1256,G0550,G4852,H0559,G4302
844	say	(universal primitive) a book, law or command says things (The law says many things.)	Verb	G1256,G0550,G4852,H0559,G4302
845	scare	(LDV) to cause someone to be afraid	Verb	G4422
846	scatter	(LDV) someone spreads things in many different directions	Verb	H6527,H6340,H0921,G4687
847	scold	(complex) to say bad things to a child because the child did something bad, to angrily criticize a bad child	Verb	
848	scorn	(complex) to show that you think that something is stupid, unreasonable, or not worth accepting	Verb	H5006,H5007
849	scout	(complex) to scout out a land, explore	Verb	G4688,G4274,G4649
850	scream	(complex) to shout loudly due to pain or fear (Mary screamed.)	Verb	H6463,G0349
851	search	(LDV) to look for something	Verb	G1567,G0327,H1245,G1934,G2213
852	seduce	(complex) to persuade someone to sex you	Verb	G1818
853	see	(universal primitive) to see someone or something  (Mary saw a bird.)	Verb	G4894,G0542,H7200
854	see	(universal primitive) to witness an event as it occurs  (Mary saw John walking to school.)	Verb	G4894,G0542,H7200
855	see	(universal primitive) to observe something, to see evidence that something has occurred (John saw that Peter was sick.)	Verb	G4894,G0542,H7200
856	see	(universal primitive) to see a vision	Verb	G4894,G0542,H7200
